First Name,Last Name,Position,Team,Cr
Dillon,Brooks,Forward,Phoenix Suns,"8,1"
Moussa,Diabate,Forward,Charlotte Hornets,"8,1"
Max,Christie,Guard,Dallas Mavericks,"8,1"
Kyle,Filipowski,Center,Utah Jazz,"8,1"
Jordan,Ott,Head Coach,Phoenix Suns,8
Kenny,Atkinson,Head Coach,Cleveland Cavaliers,8
Malik,Monk,Guard,Sacramento Kings,8
Dennis,Schroder,Guard,Sacramento Kings,8
Erik,Spoelstra,Head Coach,Miami Heat,"7,9"
Harrison,Barnes,Forward,San Antonio Spurs,"7,9"
Peyton,Watson,Guard,Denver Nuggets,"7,9"
Saddiq,Bey,Forward,New Orleans Pelicans,"7,8"
Jordan,Poole,Guard,New Orleans Pelicans,"7,8"
Cam,Thomas,Guard,Brooklyn Nets,"7,8"
Luke,Kornet,Center,San Antonio Spurs,"7,8"
Jeremiah,Fears,Guard,New Orleans Pelicans,"7,8"
Steven,Adams,Center,Houston Rockets,"7,6"
Duncan,Robinson,Forward,Detroit Pistons,"7,6"
T.J.,Mcconnell,Guard,Indiana Pacers,"7,6"
Jay,Huff,Center,Indiana Pacers,"7,6"
Yves,Missi,Center,New Orleans Pelicans,"7,6"
Isaiah,Stewart,Forward,Detroit Pistons,"7,5"
Jonathan,Kuminga,Forward,Golden State Warriors,"7,5"
Moses,Moody,Guard,Golden State Warriors,"7,5"
Zaccharie,Risacher,Forward,Atlanta Hawks,"7,5"
Jaylon,Tyson,Guard,Cleveland Cavaliers,"7,5"
Jaylen,Wells,Forward,Memphis Grizzlies,"7,5"
Cedric,Coward,Guard,Memphis Grizzlies,"7,5"
Fred,Vanvleet,Guard,Houston Rockets,"7,4"
John,Collins,Forward,Los Angeles Clippers,"7,4"
Nick,Nurse,Head Coach,Philadelphia 76ers,"7,4"
Rui,Hachimura,Forward,Los Angeles Lakers,"7,4"
Aaron,Nesmith,Forward,Indiana Pacers,"7,4"
Noah,Clowney,Forward,Brooklyn Nets,"7,4"
Dylan,Harper,Guard,San Antonio Spurs,"7,4"
Egor,Demin,Guard,Brooklyn Nets,"7,3"
Kyle,Kuzma,Forward,Milwaukee Bucks,"7,2"
Quin,Snyder,Head Coach,Atlanta Hawks,"7,2"
Darko,Rajakovic,Head Coach,Toronto Raptors,"7,2"
Grayson,Allen,Guard,Phoenix Suns,"7,2"
Tari,Eason,Forward,Houston Rockets,"7,2"
Miles,McBride,Guard,New York Knicks,"7,2"
Anthony,Black,Guard,Orlando Magic,"7,2"
Cam,Spencer,Guard,Memphis Grizzlies,"7,2"
Robert,Williams III,Center,Portland Trail Blazers,"7,1"
Terance,Mann,Guard,Brooklyn Nets,"7,1"
Goga,Bitadze,Center,Orlando Magic,"7,1"
Cason,Wallace,Guard,Oklahoma City Thunder,"7,1"
Spencer,Dinwiddie,Guard,Charlotte Hornets,7
Tim,Hardaway Jr,Forward,Denver Nuggets,7
Julian,Champagnie,Forward,San Antonio Spurs,7
Reed,Sheppard,Guard,Houston Rockets,7
Isaiah,Collier,Guard,Utah Jazz,"6,9"
Maxime,Raynaud,Center,Sacramento Kings,"6,9"
D'angelo,Russell,Guard,Dallas Mavericks,"6,8"
Precious,Achiuwa,Forward,Sacramento Kings,"6,8"
Isaiah,Joe,Guard,Oklahoma City Thunder,"6,8"
Jaylin,Williams,Forward,Oklahoma City Thunder,"6,8"
Bilal,Coulibaly,Guard,Washington Wizards,"6,8"
Mitchell,Robinson,Center,New York Knicks,"6,7"
A.J.,Green,Guard,Milwaukee Bucks,"6,7"
Dereck,Lively II,Center,Dallas Mavericks,"6,7"
Kevin,Huerter,Guard,Chicago Bulls,"6,6"
Ajay,Mitchell,Guard,Oklahoma City Thunder,"6,6"
Ryan,Dunn,Forward,Phoenix Suns,"6,6"
Ace,Bailey,Forward,Utah Jazz,"6,6"
Sam,Hauser,Forward,Boston Celtics,"6,5"
Jordan,Walsh,Guard,Boston Celtics,"6,5"
Carlton,Carrington,Guard,Washington Wizards,"6,5"
Collin,Murray-boyles,Forward,Toronto Raptors,"6,5"
Wooga,Poplar,Forward,Chicago Bulls,"6,5"
Ryan,Nembhard,Guard,Dallas Mavericks,"6,5"
Jonas,Valanciunas,Center,Denver Nuggets,"6,4"
Klay,Thompson,Guard,Dallas Mavericks,"6,4"
Lonzo,Ball,Guard,Cleveland Cavaliers,"6,4"
Obi,Toppin,Forward,Indiana Pacers,"6,4"
Brice,Sensabaugh,Forward,Utah Jazz,"6,4"
Nique,Clifford,Guard,Sacramento Kings,"6,4"
Buddy,Hield,Guard,Golden State Warriors,"6,3"
Aaron,Wiggins,Guard,Oklahoma City Thunder,"6,3"
Sandro,Mamukelashvili,Forward,Toronto Raptors,"6,3"
Vince,Williams Jr,Guard,Memphis Grizzlies,"6,3"
Kris,Dunn,Guard,Los Angeles Clippers,"6,3"
Tre,Johnson,Guard,Washington Wizards,"6,3"
Bradley,Beal,Guard,Los Angeles Clippers,"6,2"
Jalen,Smith,Center,Chicago Bulls,"6,2"
Jock,Landale,Center,Memphis Grizzlies,"6,2"
Scotty,Pippen Jr,Guard,Memphis Grizzlies,"6,2"
Sam,Merrill,Guard,Cleveland Cavaliers,"6,2"
Luguentz,Dort,Guard,Oklahoma City Thunder,"6,1"
Day'ron,Sharpe,Center,Brooklyn Nets,"6,1"
Jordan,Goodwin,Guard,Phoenix Suns,"6,1"
Quinten,Post,Center,Golden State Warriors,"6,1"
Doc,Rivers,Head Coach,Milwaukee Bucks,6
Herbert,Jones,Forward,New Orleans Pelicans,6
Jeremy,Sochan,Forward,San Antonio Spurs,6
Trendon,Watford,Forward,Philadelphia 76ers,6
Keon,Johnson,Guard,Brooklyn Nets,6
Ben,Sheppard,Guard,Indiana Pacers,6
Tristan,Da Silva,Forward,Orlando Magic,6
Danny,Wolf,Forward,Brooklyn Nets,6
Al,Horford,Center,Golden State Warriors,"5,9"
Caris,Levert,Guard,Detroit Pistons,"5,9"
Marvin,Bagley III,Forward,Washington Wizards,"5,9"
Jason,Kidd,Head Coach,Dallas Mavericks,"5,9"
Bruce,Brown,Guard,Denver Nuggets,"5,9"
Jose,Alvarado,Guard,New Orleans Pelicans,"5,9"
Vit,Krejci,Guard,Atlanta Hawks,"5,9"
Jarace,Walker,Forward,Indiana Pacers,"5,9"
Jared,Mccain,Guard,Philadelphia 76ers,"5,9"
Jamal,Shead,Guard,Toronto Raptors,"5,9"
Clint,Capela,Center,Houston Rockets,"5,8"
Marcus,Smart,Guard,Los Angeles Lakers,"5,8"
Mike,Conley,Guard,Minnesota Timberwolves,"5,8"
Gary,Payton II,Guard,Golden State Warriors,"5,8"
Ty,Jerome,Guard,Memphis Grizzlies,"5,7"
Kam,Jones,Guard,Indiana Pacers,"5,7"
Jake,Laravia,Forward,Los Angeles Lakers,"5,6"
Pelle,Larsson,Guard,Miami Heat,"5,6"
Malcolm,Brogdon,Guard,New York Knicks,"5,5"
Cole,Anthony,Guard,Milwaukee Bucks,"5,5"
Jaxson,Hayes,Center,Los Angeles Lakers,"5,5"
Isaiah,Jackson,Forward,Indiana Pacers,"5,5"
Cam,Whitmore,Forward,Washington Wizards,"5,5"
Kasparas,Jakucionis,Guard,Miami Heat,"5,5"
Jordan,Clarkson,Guard,New York Knicks,"5,4"
Alex,Caruso,Guard,Oklahoma City Thunder,"5,4"
Corey,Kispert,Forward,Washington Wizards,"5,4"
Dru,Smith,Guard,Miami Heat,"5,4"
Dominick,Barlow,Forward,Philadelphia 76ers,"5,4"
Daniss,Jenkins,Guard,Detroit Pistons,"5,4"
Johni,Broome,Center,Philadelphia 76ers,"5,4"
Caleb,Love,Guard,Portland Trail Blazers,"5,4"
Gary,Trent Jr,Guard,Milwaukee Bucks,"5,3"
Kentavious,Caldwell-Pope,Guard,Memphis Grizzlies,"5,3"
Simone,Fontecchio,Forward,Miami Heat,"5,3"
Nikola,Jovic,Forward,Miami Heat,"5,3"
Justin,Champagnie,Guard,Washington Wizards,"5,3"
Tyrese,Martin,Forward,Brooklyn Nets,"5,3"
Mouhamed,Gueye,Forward,Atlanta Hawks,"5,3"
Chris,Paul,Guard,Los Angeles Clippers,"5,2"
Jordi,Fernandez,Head Coach,Brooklyn Nets,"5,2"
Jaden,Ivey,Guard,Detroit Pistons,"5,2"
Derrick,Jones Jr,Forward,Los Angeles Clippers,"5,2"
Ziaire,Williams,Forward,Brooklyn Nets,"5,2"
Brandon,Williams,Guard,Dallas Mavericks,"5,2"
Josh,Minott,Forward,Boston Celtics,"5,2"
Ron,Holland II,Forward,Detroit Pistons,"5,2"
Brook,Lopez,Center,Los Angeles Clippers,"5,1"
Tiago,Splitter,Head Coach,Portland Trail Blazers,"5,1"
Paul,Reed,Forward,Detroit Pistons,"5,1"
Dean,Wade,Forward,Cleveland Cavaliers,"5,1"
Josh,Okogie,Guard,Houston Rockets,"5,1"
Yang,Hansen,Center,Portland Trail Blazers,"5,1"
Walter,Clayton Jr.,Guard,Utah Jazz,"5,1"
Will,Richard,Guard,Golden State Warriors,"5,1"
Isaac,Okoro,Forward,Chicago Bulls,5
Jared,Butler,Guard,Phoenix Suns,5
Dennis,Smith Jr,Guard,Dallas Mavericks,5
Pat,Spencer,Guard,Golden State Warriors,5
Noa,Essengue,Forward,Chicago Bulls,5
Craig,Porter Jr.,Guard,Cleveland Cavaliers,5
Kobe,Sanders,Guard,Los Angeles Clippers,5
Tyronn,Lue,Head Coach,Los Angeles Clippers,"4,9"
Dorian,Finney-Smith,Forward,Houston Rockets,"4,9"
Luke,Kennard,Guard,Atlanta Hawks,"4,9"
De'Anthony,Melton,Guard,Golden State Warriors,"4,9"
Svi,Mykhailiuk,Guard,Utah Jazz,"4,9"
Caleb,Grill,Guard,Chicago Bulls,"4,9"
Nae'qwan,Tomlin,Forward,Cleveland Cavaliers,"4,9"
Kyle,Anderson,Forward,Utah Jazz,"4,8"
Charles,Lee,Head Coach,Charlotte Hornets,"4,8"
Doug,Christie,Head Coach,Sacramento Kings,"4,8"
Jericho,Sims,Center,Milwaukee Bucks,"4,8"
Aaron,Holiday,Guard,Houston Rockets,"4,8"
Nick,Richards,Center,Phoenix Suns,"4,8"
Jabari,Walker,Forward,Philadelphia 76ers,"4,8"
Scoot,Henderson,Guard,Portland Trail Blazers,"4,8"
Tristan,Vukcevic,Forward,Washington Wizards,"4,8"
Oso,Ighodaro,Forward,Phoenix Suns,"4,8"
Chaz,Lanier,Guard,Detroit Pistons,"4,8"
Daron,Holmes Ii,Forward,Denver Nuggets,"4,8"
Sion,James,Guard,Charlotte Hornets,"4,8"
Brandon,Clarke,Forward,Memphis Grizzlies,"4,7"
Patrick,Williams,Forward,Chicago Bulls,"4,7"
Max,Strus,Guard,Cleveland Cavaliers,"4,7"
Moritz,Wagner,Forward,Orlando Magic,"4,7"
Luka,Garza,Center,Boston Celtics,"4,7"
Bryce,McGowens,Guard,New Orleans Pelicans,"4,7"
