name,first_name,last_name,role,position_full,nba_team,nba_team_abbr,credits
Jordan Walsh,Jordan,Walsh,G,Guardia,Boston Celtics,BOS,6.5
Carlton Carrington,Carlton,Carrington,G,Guardia,Washington Wizards,WAS,6.5
Collin Murray-boyles,Collin,Murray-boyles,A,Ala,Toronto Raptors,TOR,6.5
Wooga Poplar,Wooga,Poplar,A,Ala,Chicago Bulls,CHI,6.5
Ryan Nembhard,Ryan,Nembhard,G,Guardia,Dallas Mavericks,DAL,6.5
Jonas Valanciunas,Jonas,Valanciunas,C,Centro,Denver Nuggets,DEN,6.4
Klay Thompson,Klay,Thompson,G,Guardia,Dallas Mavericks,DAL,6.4
Lonzo Ball,Lonzo,Ball,G,Guardia,Cleveland Cavaliers,CLE,6.4
Obi Toppin,Obi,Toppin,A,Ala,Indiana Pacers,IND,6.4
Brice Sensabaugh,Brice,Sensabaugh,A,Ala,Utah Jazz,UTA,6.4
Nique Clifford,Nique,Clifford,G,Guardia,Sacramento Kings,SAC,6.4
Buddy Hield,Buddy,Hield,G,Guardia,Golden State Warriors,GSW,6.3
Aaron Wiggins,Aaron,Wiggins,G,Guardia,Oklahoma City Thunder,OKC,6.3
Sandro Mamukelashvili,Sandro,Mamukelashvili,A,Ala,Toronto Raptors,TOR,6.3
Vince Williams Jr,Vince,Williams Jr,G,Guardia,Memphis Grizzlies,MEM,6.3
Kris Dunn,Kris,Dunn,G,Guardia,Los Angeles Clippers,LAC,6.3
Tre Johnson,Tre,Johnson,G,Guardia,Washington Wizards,WAS,6.3
Bradley Beal,Bradley,Beal,G,Guardia,Los Angeles Clippers,LAC,6.2
Jalen Smith,Jalen,Smith,C,Centro,Chicago Bulls,CHI,6.2
Jock Landale,Jock,Landale,C,Centro,Memphis Grizzlies,MEM,6.2
Scotty Pippen Jr,Scotty,Pippen Jr,G,Guardia,Memphis Grizzlies,MEM,6.2
Sam Merrill,Sam,Merrill,G,Guardia,Cleveland Cavaliers,CLE,6.2
Luguentz Dort,Luguentz,Dort,G,Guardia,Oklahoma City Thunder,OKC,6.1
Day'ron Sharpe,Day'ron,Sharpe,C,Centro,Brooklyn Nets,BKN,6.1
Jordan Goodwin,Jordan,Goodwin,G,Guardia,Phoenix Suns,PHX,6.1
Quinten Post,Quinten,Post,C,Centro,Golden State Warriors,GSW,6.1
Herbert Jones,Herbert,Jones,A,Ala,New Orleans Pelicans,NOP,6.0
Jeremy Sochan,Jeremy,Sochan,A,Ala,San Antonio Spurs,SAS,6.0
Trendon Watford,Trendon,Watford,A,Ala,Philadelphia 76ers,PHI,6.0
Keon Johnson,Keon,Johnson,G,Guardia,Brooklyn Nets,BKN,6.0
Ben Sheppard,Ben,Sheppard,G,Guardia,Indiana Pacers,IND,6.0
Tristan Da Silva,Tristan,Da Silva,A,Ala,Orlando Magic,ORL,6.0
Danny Wolf,Danny,Wolf,A,Ala,Brooklyn Nets,BKN,6.0
Al Horford,Al,Horford,C,Centro,Golden State Warriors,GSW,5.9
Caris Levert,Caris,Levert,G,Guardia,Detroit Pistons,DET,5.9
Marvin Bagley III,Marvin,Bagley III,A,Ala,Washington Wizards,WAS,5.9
Bruce Brown,Bruce,Brown,G,Guardia,Denver Nuggets,DEN,5.9
Jose Alvarado,Jose,Alvarado,G,Guardia,New Orleans Pelicans,NOP,5.9
Vit Krejci,Vit,Krejci,G,Guardia,Atlanta Hawks,ATL,5.9
Jarace Walker,Jarace,Walker,A,Ala,Indiana Pacers,IND,5.9
Jared Mccain,Jared,Mccain,G,Guardia,Philadelphia 76ers,PHI,5.9
Jamal Shead,Jamal,Shead,G,Guardia,Toronto Raptors,TOR,5.9
Clint Capela,Clint,Capela,C,Centro,Houston Rockets,HOU,5.8
Marcus Smart,Marcus,Smart,G,Guardia,Los Angeles Lakers,LAL,5.8
Mike Conley,Mike,Conley,G,Guardia,Minnesota Timberwolves,MIN,5.8
Gary Payton II,Gary,Payton II,G,Guardia,Golden State Warriors,GSW,5.8
Ty Jerome,Ty,Jerome,G,Guardia,Memphis Grizzlies,MEM,5.7
Kam Jones,Kam,Jones,G,Guardia,Indiana Pacers,IND,5.7
Jake Laravia,Jake,Laravia,A,Ala,Los Angeles Lakers,LAL,5.6
Pelle Larsson,Pelle,Larsson,G,Guardia,Miami Heat,MIA,5.6
Malcolm Brogdon,Malcolm,Brogdon,G,Guardia,New York Knicks,NYK,5.5
Cole Anthony,Cole,Anthony,G,Guardia,Milwaukee Bucks,MIL,5.5
Jaxson Hayes,Jaxson,Hayes,C,Centro,Los Angeles Lakers,LAL,5.5
Isaiah Jackson,Isaiah,Jackson,A,Ala,Indiana Pacers,IND,5.5
Cam Whitmore,Cam,Whitmore,A,Ala,Washington Wizards,WAS,5.5
Kasparas Jakucionis,Kasparas,Jakucionis,G,Guardia,Miami Heat,MIA,5.5
