First Name,Last Name,Position,Team,Cr,Team_abbr
Dennis,Smith Jr,Guardia,Dallas Mavericks,5,DAL
Pat,Spencer,Guardia,Golden State Warriors,5,GSW
Noa,Essengue,Ala,Chicago Bulls,5,CHI
Craig,Porter Jr.,Guardia,Cleveland Cavaliers,5,CLE
Kobe,Sanders,Guardia,Los Angeles Clippers,5,LAC
Dorian,Finney-Smith,Ala,Houston Rockets,"4,9",HOU
Luke,Kennard,Guardia,Atlanta Hawks,"4,9",ATL
De'Anthony,Melton,Guardia,Golden State Warriors,"4,9",GSW
Svi,Mykhailiuk,Guardia,Utah Jazz,"4,9",UTA
Caleb,Grill,Guardia,Chicago Bulls,"4,9",CHI
Nae'qwan,Tomlin,Ala,Cleveland Cavaliers,"4,9",CLE
Kyle,Anderson,Ala,Utah Jazz,"4,8",UTA
Jericho,Sims,Centro,Milwaukee Bucks,"4,8",MIL
Aaron,Holiday,Guardia,Houston Rockets,"4,8",HOU
Nick,Richards,Centro,Phoenix Suns,"4,8",PHX
Jabari,Walker,Ala,Philadelphia 76ers,"4,8",PHI
Scoot,Henderson,Guardia,Portland Trail Blazers,"4,8",POR
Tristan,Vukcevic,Ala,Washington Wizards,"4,8",WAS
Oso,Ighodaro,Ala,Phoenix Suns,"4,8",PHX
Chaz,Lanier,Guardia,Detroit Pistons,"4,8",DET
Daron,Holmes Ii,Ala,Denver Nuggets,"4,8",DEN
Sion,James,Guardia,Charlotte Hornets,"4,8",CHA
Brandon,Clarke,Ala,Memphis Grizzlies,"4,7",MEM
Patrick,Williams,Ala,Chicago Bulls,"4,7",CHI
Max,Strus,Guardia,Cleveland Cavaliers,"4,7",CLE
Moritz,Wagner,Ala,Orlando Magic,"4,7",ORL
Luka,Garza,Centro,Boston Celtics,"4,7",BOS
Bryce,McGowens,Guardia,New Orleans Pelicans,"4,7",NOP
Tidjane,Salaun,Ala,Charlotte Hornets,"4,7",CHA
Adem,Bona,Ala,Philadelphia 76ers,"4,7",PHI
Asa,Newell,Ala,Atlanta Hawks,"4,7",ATL
Max,Shulga,Guardia,Boston Celtics,"4,7",BOS
Drake,Powell,Guardia,Brooklyn Nets,"4,7",BKN
David Jones,Garcia,Ala,San Antonio Spurs,"4,7",SAS
Kevin,Love,Ala,Utah Jazz,"4,6",UTA
Nicolas,Batum,Ala,Los Angeles Clippers,"4,6",LAC
Justin,Edwards,Ala,Philadelphia 76ers,"4,6",PHI
Liam,Mcneeley,Ala,Charlotte Hornets,"4,6",CHA
Spencer,Jones,Ala,Denver Nuggets,"4,6",DEN
Cameron,Payne,Guardia,Indiana Pacers,"4,5",IND
Thomas,Bryant,Centro,Cleveland Cavaliers,"4,5",CLE
Talen,Horton-Tucker,Guardia,Chicago Bulls,"4,5",CHI
Tyus,Jones,Guardia,Orlando Magic,"4,5",ORL
Gabe,Vincent,Guardia,Los Angeles Lakers,"4,5",LAL
Delon,Wright,Guardia,Indiana Pacers,"4,5",IND
Kelly,Olynyk,Ala,San Antonio Spurs,"4,5",SAS
Tre,Mann,Guardia,Charlotte Hornets,"4,5",CHA
Alex,Len,Centro,New York Knicks,"4,5",NYK
Jaden,Hardy,Guardia,Dallas Mavericks,"4,5",DAL
Jamaree,Bouyea,Guardia,Phoenix Suns,"4,5",PHX
Tristan,Thompson,Centro,Cleveland Cavaliers,"4,5",CLE
Kris,Murray,Ala,Portland Trail Blazers,"4,5",POR
Daquan,Jeffries,Guardia,Charlotte Hornets,"4,5",CHA
Keaton,Wallace,Guardia,Atlanta Hawks,"4,5",ATL
Kevon,Looney,Centro,New Orleans Pelicans,"4,4",NOP
Zach,Collins,Ala,Chicago Bulls,"4,4",CHI
Tony,Bradley,Centro,Indiana Pacers,"4,4",IND
Jase,Richardson,Guardia,Orlando Magic,"4,4",ORL
Noah,Penda,Guardia,Orlando Magic,"4,4",ORL
Micah,Peavy,Guardia,New Orleans Pelicans,"4,4",NOP
Jamir,Watkins,Guardia,Washington Wizards,"4,4",WAS
