First Name,Last Name,Position,Team,Cr,Team_abbr
Blake,Wesley,Guardia,Portland Trail Blazers,4,POR
Deandre,Jordan,Centro,New Orleans Pelicans,4,NOP
Marjon,Beauchamp,Ala,Philadelphia 76ers,4,PHI
Garrett,Temple,Guardia,Toronto Raptors,4,TOR
Damion,Lee,Guardia,Phoenix Suns,4,PHX
Kevin,Knox II,Ala,Golden State Warriors,4,GSW
Taurean,Prince,Ala,Milwaukee Bucks,4,MIL
Thanasis,Antetokounmpo,Ala,Milwaukee Bucks,4,MIL
Patrick,Baldwin Jr,Ala,Los Angeles Clippers,4,LAC
David,Roddy,Ala,Toronto Raptors,4,TOR
Zeke,Nnaji,Ala,Denver Nuggets,4,DEN
Anthony,Gill,Ala,Washington Wizards,4,WAS
JD,Davison,Guardia,Houston Rockets,4,HOU
TyTy,Washington,Guardia,Los Angeles Clippers,4,LAC
Haywood,Highsmith,Ala,Brooklyn Nets,4,BKN
Kenyon,Martin Jr,Ala,Utah Jazz,4,UTA
Charles,Bassey,Centro,Memphis Grizzlies,4,MEM
Jason,Preston,Guardia,Los Angeles Clippers,4,LAC
Wendell,Moore,Guardia,Detroit Pistons,4,DET
JT,Thor,Ala,Washington Wizards,4,WAS
Jaden,Springer,Guardia,New Orleans Pelicans,4,NOP
James,Johnson,Ala,Indiana Pacers,4,IND
Braxton,Key,Ala,Golden State Warriors,4,GSW
Trevelin,Queen,Guardia,Orlando Magic,4,ORL
Jamal,Cain,Ala,Orlando Magic,4,ORL
Caleb,Houstan,Guardia,Atlanta Hawks,4,ATL
Lindy,Waters III,Ala,San Antonio Spurs,4,SAS
Micah,Potter,Centro,San Antonio Spurs,4,SAS
Orlando,Robinson,Centro,Orlando Magic,4,ORL
Mac,McClung,Guardia,Indiana Pacers,4,IND
Cody,Zeller,Centro,Houston Rockets,4,HOU
Johnny,Juzang,Guardia,Minnesota Timberwolves,4,MIN
Nate,Williams,Guardia,Houston Rockets,4,HOU
Quenton,Jackson,Guardia,Indiana Pacers,4,IND
Emoni,Bates,Ala,Philadelphia 76ers,4,PHI
Dante,Exum,Guardia,Dallas Mavericks,4,DAL
Julian,Strawther,Guardia,Denver Nuggets,4,DEN
Hunter,Tyson,Ala,Denver Nuggets,4,DEN
Olivier,Maxence-Prosper,Ala,Memphis Grizzlies,4,MEM
Jalen,Pickett,Guardia,Denver Nuggets,4,DEN
Marcus,Sasser,Guardia,Detroit Pistons,4,DET
Jordan,Hawkins,Guardia,New Orleans Pelicans,4,NOP
Jalen,Wilson,Ala,Brooklyn Nets,4,BKN
A.j.,Lawson,Guardia,Toronto Raptors,4,TOR
Leonard,Miller,Ala,Minnesota Timberwolves,4,MIN
Jett,Howard,Guardia,Orlando Magic,4,ORL
Rayan,Rupert,Guardia,Portland Trail Blazers,4,POR
Colby,Jones,Guardia,Detroit Pistons,4,DET
E.J.,Liddell,Ala,Brooklyn Nets,4,BKN
Jacob,Toppin,Ala,Atlanta Hawks,4,ATL
Dariq,Whitehead,Ala,Oklahoma City Thunder,4,OKC
Oscar,Tshiebwe,Centro,Utah Jazz,4,UTA
Jordan,Miller,Guardia,Los Angeles Clippers,4,LAC
Colin,Castleton,Centro,Orlando Magic,4,ORL
Gregory,Jackson,Ala,Memphis Grizzlies,4,MEM
Andre,Jackson Jr,Guardia,Milwaukee Bucks,4,MIL
Chris,Livingston,Ala,Cleveland Cavaliers,4,CLE
Duop,Reath,Centro,Portland Trail Blazers,4,POR
Adam,Flagler,Guardia,San Antonio Spurs,4,SAS
Mason,Jones,Guardia,Sacramento Kings,4,SAC
Pete,Nance,Ala,Milwaukee Bucks,4,MIL
Dillon,Jones,Ala,Washington Wizards,4,WAS
Kj,Simpson,Guardia,Charlotte Hornets,4,CHA
Bobi,Klintman,Ala,Detroit Pistons,4,DET
Dalton,Knecht,Guardia,Los Angeles Lakers,4,LAL
Terrence,Shannon,Guardia,Minnesota Timberwolves,4,MIN
Devin,Carter,Guardia,Sacramento Kings,4,SAC
Enrique,Freeman,Ala,Minnesota Timberwolves,4,MIN
Anton,Watson,Ala,Los Angeles Lakers,4,LAL
Baylor,Scheierman,Guardia,Boston Celtics,4,BOS
Tyler,Smith,Ala,Houston Rockets,4,HOU
Rob,Dillingham,Guardia,Minnesota Timberwolves,4,MIN
Kevin,Mccullar Jr,Guardia,New York Knicks,4,NYK
Antonio,Reeves,Guardia,Charlotte Hornets,4,CHA
Johnny,Furphy,Guardia,Indiana Pacers,4,IND
Tristen,Newton,Guardia,Minnesota Timberwolves,4,MIN
Aj,Johnson,Guardia,Washington Wizards,4,WAS
Nikola,Topic,Guardia,Oklahoma City Thunder,4,OKC
Nikola,Djurisic,Guardia,Atlanta Hawks,4,ATL
Cam,Christie,Guardia,Los Angeles Clippers,4,LAC
Bronny,James,Guardia,Los Angeles Lakers,4,LAL
Ariel,Hukporti,Centro,New York Knicks,4,NYK
Harrison,Ingram,Ala,San Antonio Spurs,4,SAS
Cody,Williams,Ala,Utah Jazz,4,UTA
Pacome,Dadiet,Ala,New York Knicks,4,NYK
Jonathan,Mogbo,Ala,Toronto Raptors,4,TOR
Ulrich,Chomche,Centro,Toronto Raptors,4,TOR
Drew,Peterson,Ala,Charlotte Hornets,4,CHA
Luke,Travers,Ala,Cleveland Cavaliers,4,CLE
Pj,Hall,Centro,Memphis Grizzlies,4,MEM
Jackson,Rowe,Ala,Golden State Warriors,4,GSW
Reece,Beekman,Guardia,Brooklyn Nets,4,BKN
Yuki,Kawamura,Guardia,Chicago Bulls,4,CHI
Jamison,Battle,Ala,Toronto Raptors,4,TOR
Alex,Ducas,Ala,Oklahoma City Thunder,4,OKC
Isaac,Jones,Ala,Detroit Pistons,4,DET
Jack,McVeigh,Ala,Houston Rockets,4,HOU
Carter,Bryant,Ala,San Antonio Spurs,4,SAS
Amari,Williams,Ala,Boston Celtics,4,BOS
Adou,Thiero,Ala,Los Angeles Lakers,4,LAL
Tyrese,Proctor,Guardia,Cleveland Cavaliers,4,CLE
Yanic Konan,Niederhauser,Centro,Los Angeles Clippers,4,LAC
Rasheer,Fleming,Ala,Phoenix Suns,4,PHX
Joan,Beringer,Ala,Minnesota Timberwolves,4,MIN
Nolan,Traore,Guardia,Brooklyn Nets,4,BKN
Tyson,Etienne,Guardia,Brooklyn Nets,4,BKN
Alex,Toohey,Ala,Golden State Warriors,4,GSW
Ben,Saraf,Guardia,Brooklyn Nets,4,BKN
Mohamed,Diawara,Ala,New York Knicks,4,NYK
Emanuel,Miller,Ala,Chicago Bulls,4,CHI
Hugo,Gonzalez,Guardia,Boston Celtics,4,BOS
Javon,Small,Guardia,Memphis Grizzlies,4,MEM
Rayj,Dennis,Guardia,Indiana Pacers,4,IND
Chris,Youngblood,Guardia,Oklahoma City Thunder,4,OKC
Taelon,Peter,Guardia,Indiana Pacers,4,IND
Moussa,Cisse,Centro,Dallas Mavericks,4,DAL
Elijah,Harkless,Guardia,Utah Jazz,4,UTA
Mark,Sears,Guardia,Milwaukee Bucks,4,MIL
